campaign,source_file,run_id,status,dataset_id,provider,model,trial,latency_ms,compile_pass,test_pass,coverage_pct,failure_type,failure_message,quality_score,assertion_count,test_count,trivial_flag,generation_time_ms,parse_ms,retrieval_ms,prompt_ms,llm_ms,postproc_ms,max_dependencies,timeout_seconds,model_short,dataset_family,full_success,compile_only,failed
run_89267bfa6bd1,benchmark_nvidia405b_commonscli_results/run_89267bfa6bd1/result.json,run_89267bfa6bd1,error,commons-cli-helpformatter,nvidia,meta/llama-3.1-405b-instruct,1,0.0,False,False,,error,404 page not found,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,llama-3.1-405b-instruct,commons,False,False,True
run_904ac9da9597,benchmark_nvidia405b_commonscli_results/run_904ac9da9597/result.json,run_904ac9da9597,error,commons-cli-options,nvidia,meta/llama-3.1-405b-instruct,1,0.0,False,False,,error,404 page not found,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,llama-3.1-405b-instruct,commons,False,False,True
benchmark_nvidia_dsv4_commonscli_results,benchmark_nvidia_dsv4_commonscli_results/results.json,run_571da66a9cac,failed,commons-cli-helpformatter,nvidia,deepseek-ai/deepseek-v4-flash,1,161348.0,False,False,,compile_failed,Compilation failed,0.9795918367346939,80.0,49.0,False,322660.0,4.0,13.0,15.0,161314.0,0.0,5,300,deepseek-ai/deepseek-v4-flash,commons,False,False,True
benchmark_nvidia_dsv4_commonscli_results,benchmark_nvidia_dsv4_commonscli_results/results.json,run_4ebc3345a926,failed,commons-cli-options,nvidia,deepseek-ai/deepseek-v4-flash,1,153707.0,False,False,,compile_failed,Compilation failed,1.0,80.0,32.0,False,307388.0,1.0,18.0,1.0,153684.0,0.0,5,300,deepseek-ai/deepseek-v4-flash,commons,False,False,True
run_4ebc3345a926,benchmark_nvidia_dsv4_commonscli_results/run_4ebc3345a926/result.json,run_4ebc3345a926,failed,commons-cli-options,nvidia,deepseek-ai/deepseek-v4-flash,1,153707.0,False,False,,compile_failed,Compilation failed,1.0,80.0,32.0,False,307388.0,1.0,18.0,1.0,153684.0,0.0,5,300,deepseek-ai/deepseek-v4-flash,commons,False,False,True
run_571da66a9cac,benchmark_nvidia_dsv4_commonscli_results/run_571da66a9cac/result.json,run_571da66a9cac,failed,commons-cli-helpformatter,nvidia,deepseek-ai/deepseek-v4-flash,1,540748.0,False,False,,compile_failed,Compilation failed,0.7578947368421052,72.0,57.0,False,1081461.0,5.0,13.0,13.0,540715.0,0.0,5,300,deepseek-ai/deepseek-v4-flash,commons,False,False,True
benchmark_nvidia_qwen_commonscli_results,benchmark_nvidia_qwen_commonscli_results/results.json,run_2fb2555ad6eb,error,commons-cli-helpformatter,nvidia,qwen/qwen3.5-122b-a10b,1,0.0,False,False,,error,'NoneType' object has no attribute 'strip',0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,qwen/qwen3.5-122b-a10b,commons,False,False,True
benchmark_nvidia_qwen_commonscli_results,benchmark_nvidia_qwen_commonscli_results/results.json,run_289792e144de,error,commons-cli-options,nvidia,qwen/qwen3.5-122b-a10b,1,0.0,False,False,,error,'NoneType' object has no attribute 'strip',0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,qwen/qwen3.5-122b-a10b,commons,False,False,True
run_289792e144de,benchmark_nvidia_qwen_commonscli_results/run_289792e144de/result.json,run_289792e144de,error,commons-cli-options,nvidia,qwen/qwen3.5-122b-a10b,1,0.0,False,False,,error,'NoneType' object has no attribute 'strip',0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,qwen/qwen3.5-122b-a10b,commons,False,False,True
run_2fb2555ad6eb,benchmark_nvidia_qwen_commonscli_results/run_2fb2555ad6eb/result.json,run_2fb2555ad6eb,error,commons-cli-helpformatter,nvidia,qwen/qwen3.5-122b-a10b,1,0.0,False,False,,error,'NoneType' object has no attribute 'strip',0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,qwen/qwen3.5-122b-a10b,commons,False,False,True
